dept_code,sub_dept,class,sub_class,description
811,16,167,11,SOCKS
811,16,164,11,"TG SOCKS"
811,16,165,13,SHOES
811,16,160,6,OUTER
811,16,161,9,OUTERWEA
811,16,164,20,"TG HAIR"
811,19,190,5,"COLD WTH"
811,16,169,12,"DNM BTMS"
811,16,165,1,SWEATERS
811,16,169,10,OTWR
811,14,148,2,SHORTS
811,12,129,5,SHIRTS
811,10,109,1,BOTTOMS
811,14,148,8,"DENIM JKT"
811,12,123,6,NOVELTY
811,16,169,2,TOPS
811,16,165,3,1-PIECES
811,16,167,9,OUTRWR
811,16,169,4,WVNBTMS
811,18,182,1,SHORTS
811,17,173,3,TANKS
811,13,131,5,SHOES
813,32,329,0,"MNS FURN"
813,32,329,7,SHOES
813,32,326,0,"M ACTIVE"
813,32,326,6,"ACT BTMS"
813,34,344,0,"W ACTIVE"
813,34,344,2,"ACT BOT"
813,37,0,0,"BABY&TODDLER DIVISIO"
813,37,373,0,"BBOY KNT"
813,37,373,1,"S/S T B/S"
813,32,329,1,ACCESS
0,18,182,0,"GR ACTKN"
0,18,182,104,SKIRTS
0,16,0,0,BABYGAP
0,16,160,0,"TB WOVEN"
0,16,160,101,PANTS
0,16,161,0,"TG WOVEN"
0,16,161,107,DENIM
0,18,180,0,GWOVBOT
0,18,180,106,DNMSHORT
0,17,0,0,KIDS
0,17,173,0,"BOY KNITS"
0,17,173,100,"SCREEN T"
0,16,167,0,"BABY BOY"
0,16,167,110,SWIM
0,17,171,0,"BOY WBTM"
0,17,171,107,"FSH WVN"
0,18,181,104,WOVENDRE
0,16,167,113,SHOES
0,16,164,0,"TOD ACC"
0,16,164,104,"TB SHOES"
0,16,164,113,"TG SHOES"
0,19,0,0,KIDS
0,19,190,0,"BOYS ACC"
0,19,190,108,SHOES
0,19,192,0,"GIRL ACC"
0,19,192,108,SHOES
0,16,169,0,"BABY GIRL"
0,16,169,113,SHOES
0,0,164,0,"TOD ACC"
0,0,164,113,"TG SHOES"
0,16,167,104,WVNBTMS
0,16,160,102,SHORTS
0,16,160,100,TOPS
0,16,160,103,DENIM
0,16,164,102,"TB HATS"
0,16,167,102,TOPS
0,16,169,100,BDYSUITS
0,16,163,0,"TB KNIT"
0,16,163,107,GRAPHICS
0,16,162,0,"TG KNIT"
0,16,162,102,SHORTS
0,16,167,100,BODYSUIT
0,16,163,100,TOPS
